icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration,z_score_max,zscore_anomaly,turning_anomaly
a3e911,11582.4,11582.4,11582.399999999998,217.81,218.26,217.86499999999995,0.0793999999999996,0.054000000000002,3151.0,0.9858890582309289,False,False
a3e9c5,10972.8,10972.8,10972.800000000005,228.33,228.33,228.33000000000013,0.017799999999994,0.024499999999989,1992.0,0.8217002342153512,False,False
a3ea54,2377.44,11590.02,7003.370697674419,148.25,222.79,189.34968992248065,1.4560999999999993,8.111099999999993,3592.0,1.7231671480990682,False,False
a3ec93,10660.38,10668.0,10666.24153846154,260.47,261.2,261.0315384615384,0.1039999999999992,0.1397999999999939,986.0,1.0382013538690151,False,False
a3ecc8,7856.22,11582.4,10205.333478260873,235.56,238.91,237.4534782608695,6.642599999999998,2.9632000000000005,3206.0,2.9076747486382644,False,False
a3ed69,3025.14,3025.14,3025.14,176.18,176.91,176.24952380952377,0.0009999999999976,0.0015000000000071,559.0,1.5988312984344453,False,False
a3ed7c,8938.26,9479.28,9082.5443902439,241.3,242.8,241.8789430894309,0.2038999999999973,0.2912000000000034,3592.0,1.185299981366194,False,False
a3ed91,701.04,975.36,801.0144,81.8,92.11,87.8516,0.0002999999999957,0.0570000000000021,2867.0,2.570201303715662,False,True
a3ef1b,792.48,10668.0,4112.387,124.96,252.73,167.53766666666664,6.0169,1.6807999999999907,2477.0,2.601930397116453,False,False
a3efa2,3909.06,4747.26,4481.553913043479,184.87,195.24,192.7457391304348,0.0979999999999989,0.1418000000000034,3592.0,1.185299981366194,False,False
a3f00a,1485.9,10675.62,4724.848235294116,143.18,239.77,177.61991596638651,4.094799999999999,5.909700000000001,3592.0,1.7334883395270733,False,False
a3f04a,10355.58,10363.2,10356.028235294118,236.15,237.18,236.69941176470587,0.1114999999999994,0.0091000000000036,2762.0,0.6554590498995791,False,True
a3f07f,11269.98,11285.22,11277.237142857144,250.48,250.97,250.85333333333327,0.0312000000000054,0.1052000000000106,2865.0,0.9017422859229454,False,True
a3f1c2,10363.2,10370.82,10369.882153846153,237.76,238.34,238.1827692307692,0.0263000000000062,0.2879999999999967,3592.0,1.185299981366194,False,False
a3f3dc,3208.02,4206.24,3548.0625,157.28,176.5,164.705234375,0.0409000000000006,0.2027999999999963,3592.0,1.3357965240771787,False,False
a3f401,4678.68,10363.2,8836.152,208.47,244.79,239.7944,12.199600000000004,3.7886000000000015,2867.0,5.623067686798266,True,True
a3f4d7,8839.2,8846.82,8845.731428571431,254.09,254.81,254.3761904761905,0.0678999999999945,0.0822000000000002,2865.0,0.9179777146845033,False,True
a3f4ea,10066.02,10066.02,10066.020000000002,241.61,241.61,241.61000000000007,0.0,0.0,245.0,1.4316230915580137,False,False
a3f500,10972.8,11582.4,11419.839999999997,222.17,247.55,228.9826666666667,5.3782,3.832700000000002,374.0,2.2898336777349897,False,True
a3f621,9144.0,10668.0,9753.6,237.26,260.09,256.0088,1.581199999999999,12.75699999999999,2867.0,2.8953841263847706,False,True
a3f7b8,9761.22,9761.22,9761.22,250.54,252.08,251.13708333333335,0.1367000000000011,0.0006999999999948,2762.0,0.8517131914704802,False,True
a3f8a1,10668.0,10668.0,10668.0,272.13,272.13,272.12999999999994,0.0041000000000011,0.0230000000000103,1629.0,1.2647440220073478,False,False
a3f8b8,9144.0,9144.0,9144.0,228.6,228.6,228.6,0.0,0.0,192.0,1.4730622677949372,False,False
a3fb6f,10355.58,10370.82,10361.950819672127,218.41,218.78,218.5829508196722,0.0927000000000006,0.1301999999999878,3592.0,1.185299981366194,False,False
a3fba4,6309.36,6591.3,6485.839199999999,228.6,237.52,233.90760000000003,0.0476999999999989,0.151699999999991,2867.0,0.6184433252950704,False,True
a3fc58,10668.0,10668.0,10668.0,249.98,249.98,249.98,0.0,0.0,192.0,1.4730622677949372,False,False
a3ff26,10363.2,10370.82,10368.495254237292,235.98,236.37,236.10364406779655,0.1171000000000006,0.1670999999999907,3592.0,1.185299981366194,False,False
